"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000265222";0;4;3;0;8;6;0;0
"ENSG00000263717";0;0;1;0;0;1;1;0
"ENSG00000279781";3;0;4;0;0;0;0;3
"ENSG00000265337";1;4;1;0;0;2;0;0
"ENSG00000108691|CCL2";397;356;266;302;512;369;486;494
"ENSG00000181291|TMEM132E";4;6;13;17;0;7;3;0
"ENSG00000278860";0;0;0;0;0;0;0;0
"ENSG00000108684|ASIC2";4;0;0;0;0;0;0;3
"ENSG00000264598";3;0;0;0;0;0;0;0
"ENSG00000280349";0;0;0;0;0;0;0;0
"ENSG00000266535";0;0;0;0;0;0;0;0
"ENSG00000265544|AA06";0;0;0;0;0;0;0;0
"ENSG00000265697";0;0;0;0;0;0;0;0
"ENSG00000265125";0;0;0;0;0;0;0;0
"ENSG00000265115";0;0;0;0;0;0;0;0
"ENSG00000264643";0;0;0;0;0;0;0;0
"ENSG00000265689";0;0;0;0;0;0;0;0
"ENSG00000283381";0;0;0;0;0;0;0;0
"ENSG00000283417";0;0;0;0;0;0;0;0
"ENSG00000279668";0;0;0;0;0;0;0;0
"ENSG00000265356";0;0;0;0;0;0;0;0
"ENSG00000263435";0;0;0;0;0;0;0;0
"ENSG00000279674";0;0;0;0;0;0;0;0
"ENSG00000263485";0;0;0;0;0;0;0;0
"ENSG00000265775";0;0;0;0;0;0;0;0
"ENSG00000252370|RNA5SP438";0;0;0;0;0;0;0;0
"ENSG00000264791";0;0;0;0;0;0;0;0
"ENSG00000263571";0;0;0;0;0;0;0;0
"ENSG00000261156|LINC01989";0;0;0;0;0;0;0;0
"ENSG00000264990";0;0;0;0;0;0;0;0
"ENSG00000226049|TLK2P1";22;22;13;21;33;18;17;19
"ENSG00000073598|FNDC8";0;0;0;0;0;0;0;0
"ENSG00000073536|NLE1";600;594;464;458;506;597;483;525
"ENSG00000132141|CCT6B";83;92;72;98;88;139;83;119
"ENSG00000285559";0;0;0;0;0;0;0;0
"ENSG00000198783|ZNF830";688;634;633;449;708;718;629;701
"ENSG00000005156|LIG3";1876;1838;1563;1448;1394;1604;1170;1468
"ENSG00000092871|RFFL";1467;1176;1210;1088;1308;1219;1100;1167
"ENSG00000273687";0;0;0;0;0;0;0;0
"ENSG00000243423";0;0;0;0;0;0;0;0
"ENSG00000253084|RNU6-840P";0;0;0;0;0;0;0;0
"ENSG00000185379|RAD51D";952;637;686;630;663;536;504;537
"ENSG00000267618";3;1;0;2;3;1;2;0
"ENSG00000267457";1;13;5;7;2;0;0;3
"ENSG00000252328|Vault";1;1;1;1;1;1;1;1
"ENSG00000172716|SLFN11";2641;1497;1571;1453;1945;1518;1448;1669
"ENSG00000267711";0;0;0;4;6;0;0;5
"ENSG00000266947";21;40;50;5;20;57;16;37
"ENSG00000289211";0;0;0;0;0;0;0;0
"ENSG00000166750|SLFN5";9809;11229;9742;9146;11000;11477;9559;12048
"ENSG00000154760|SLFN13";113;53;76;55;85;52;59;55
"ENSG00000172123|SLFN12";887;842;656;728;725;711;570;643
"ENSG00000267547";36;45;45;36;36;28;36;20
"ENSG00000267745";153;156;94;126;109;135;113;161
"ENSG00000267648";20;18;21;19;34;11;13;23
"ENSG00000267102";69;109;70;68;69;106;59;65
"ENSG00000270885|RASL10B";11;36;59;14;48;25;28;44
"ENSG00000271447|MMP28";8;9;4;2;9;9;5;0
"ENSG00000271392";0;0;0;0;0;0;0;0
"ENSG00000270806|C17orf50";0;0;0;0;0;0;0;0
"ENSG00000271394|7SK";0;6;6;2;3;0;0;4
"ENSG00000271013|LRRC37A9P";9;12;9;0;0;0;3;0
"ENSG00000278023|RDM1";21;0;8;27;13;0;0;0
"ENSG00000108733|PEX12";574;636;495;499;529;607;537;704
"ENSG00000006125|AP2B1";5482;5050;4204;4687;3534;3909;3520;4674
"ENSG00000267592";0;0;0;0;0;0;0;0
"ENSG00000267321|SNHG30";141;89;143;90;106;114;60;124
"ENSG00000207297|SNORD7";3;1;1;1;1;0;1;3
"ENSG00000270647|TAF15";1048;945;729;729;663;587;434;496
"ENSG00000270871";0;0;0;0;0;0;0;0
"ENSG00000270379|HEATR9";0;0;0;0;0;0;0;0
"ENSG00000270894";19;27;9;10;5;1;13;6
"ENSG00000271268";0;3;0;3;0;0;0;0
"ENSG00000275954|TBC1D3F";25;25;26;13;22;33;15;21
"ENSG00000274658|TBC1D3JP";2;2;1;1;2;2;1;0
"ENSG00000276241";0;0;0;0;4;0;0;0
"ENSG00000289485";0;0;0;0;0;0;0;0
"ENSG00000282738";0;0;0;0;0;0;0;0
"ENSG00000274808|TBC1D3B";26;15;12;6;9;15;9;8
"ENSG00000274767";9;7;13;0;0;0;0;0
"ENSG00000276085|CCL3L3";0;0;0;0;0;0;0;0
"ENSG00000276070|CCL4L2";0;0;0;0;0;0;0;0
"ENSG00000278097";0;0;0;0;0;0;0;0
"ENSG00000276755";0;0;0;0;0;0;0;0
"ENSG00000278395";0;0;0;0;0;0;0;0
"ENSG00000274933|TBC1D3I";35;37;30;20;31;23;21;23
"ENSG00000261499";114;105;71;81;84;118;78;107
"ENSG00000265889|Y_RNA";1;0;1;1;0;0;0;1
"ENSG00000260287|TBC1D3G";35;42;32;23;37;32;20;29
"ENSG00000274226|TBC1D3H";39;41;35;23;38;28;25;29
"ENSG00000278535|DHRS11";103;106;113;112;87;99;59;83
"ENSG00000278619|MRM1";189;110;178;136;140;123;165;137
"ENSG00000275613";4;0;0;0;0;0;0;0
"ENSG00000275700|AATF";1551;1393;1183;982;1120;1248;1008;1226
"ENSG00000276326|MIR2909";0;0;0;0;0;0;0;0
"ENSG00000277579";0;0;0;0;0;0;4;0
"ENSG00000278638";0;0;0;0;0;0;0;0
"ENSG00000277911";0;0;0;0;5;0;0;0
"ENSG00000277589";12;3;13;2;6;3;0;0
"ENSG00000273611|ZNHIT3";911;900;827;697;848;942;824;1078
"ENSG00000274164|RNA5SP439";0;0;0;0;0;0;0;0
"ENSG00000278259|MYO19";2915;1746;1722;1474;1372;1056;1006;1111
"ENSG00000277161|PIGW";517;377;372;342;293;266;224;262
"ENSG00000278311|GGNBP2";2783;2558;2094;2138;2188;1951;1698;1999
"ENSG00000274756";0;0;0;0;0;0;0;0
"ENSG00000276810";0;0;0;0;0;0;0;0
"ENSG00000278540|ACACA";2571;2405;2152;2043;1912;1921;1615;2174
"ENSG00000278505|C17orf78";0;0;0;0;0;0;0;0
"ENSG00000276054";0;0;0;0;0;0;0;0
"ENSG00000276234|TADA2A";1079;977;767;690;859;802;700;879
"ENSG00000273965";0;0;0;0;0;0;0;0
"ENSG00000274308";0;1;0;4;0;3;0;0
"ENSG00000275029|HMGB1P24";0;0;0;0;0;2;0;0
"ENSG00000293218";0;0;4;0;0;3;0;3
"ENSG00000275839";6;1;3;7;3;2;5;5
"ENSG00000273513|TBC1D3K";36;40;28;27;45;35;24;23
"ENSG00000275066|SYNRG";1301;1090;1052;1055;1139;1090;934;1216
"ENSG00000278053|DDX52";3985;3630;3694;3259;3533;3328;2795;3529
"ENSG00000277501";0;0;0;3;0;0;0;0
"ENSG00000274244";0;0;0;0;0;0;0;9
"ENSG00000276023|DUSP14";3640;3330;3203;2540;2524;2471;2174;2387
"ENSG00000277688";1;1;1;1;1;0;1;1
"ENSG00000274620|MIR378J";1;6;5;2;2;3;4;2
"ENSG00000277399|GPR179";0;0;0;0;0;0;0;0
"ENSG00000278845|MRPL45";951;1031;951;963;930;1019;967;1190
"ENSG00000274211|SOCS7";1199;1031;1041;808;1093;994;950;1164
"ENSG00000274512|TBC1D3L";81;178;81;82;100;118;121;87
"ENSG00000274663|RNA5SP526";0;0;0;0;0;0;0;0
"ENSG00000291088|NPEPPSP1";314;298;250;299;276;255;258;337
"ENSG00000274487|NPEPPSP1";15;0;0;0;0;0;0;0
"ENSG00000274419|TBC1D3D";30;41;27;23;45;30;29;29
"ENSG00000278299|TBC1D3C";40;52;37;33;57;38;41;33
"ENSG00000274615|NPEPPSP1";144;169;137;172;161;162;117;195
"ENSG00000275006|Y_RNA";1;0;1;1;0;0;0;1
"ENSG00000278599|TBC1D3E";39;48;38;30;49;33;30;35
"ENSG00000274611|TBC1D3";38;48;37;32;53;36;36;25
"ENSG00000274284|Y_RNA";1;0;1;1;0;0;0;1
"ENSG00000273604|EPOP";147;114;75;56;59;43;77;81
"ENSG00000275832|ARHGAP23";6264;6669;5335;5383;4553;4790;4463;5471
"ENSG00000276170";266;278;237;188;208;285;274;239
"ENSG00000276036|RNA5SP440";0;0;0;0;0;0;0;0
"ENSG00000277258|PCGF2";217;150;129;117;102;151;121;195
"ENSG00000277972|CISD3";402;411;454;305;372;402;377;406
"ENSG00000277182";43;15;23;27;17;29;11;24
"ENSG00000275532";0;1;1;0;2;5;3;12
"ENSG00000275665";0;0;2;1;1;0;1;1
"ENSG00000273627|MIR4726";0;0;1;0;0;0;0;0
"ENSG00000275023|MLLT6";2167;2330;1918;1902;2474;2550;2118;2631
"ENSG00000279119";0;0;0;0;0;0;0;0
"ENSG00000275238|MIR4734";0;0;0;0;0;0;0;0
"ENSG00000277969";33;54;24;28;63;54;27;40
"ENSG00000277791|PSMB3";3773;3495;3078;2906;2797;2806;2731;2920
"ENSG00000274607|RNU6-866P";0;0;0;0;0;0;0;0
"ENSG00000274054|MIR4727";0;0;0;0;1;0;0;0
"ENSG00000273559|CWC25";893;725;690;669;740;812;564;758
"ENSG00000276293|PIP4K2B";6692;6455;6348;5320;6029;6408;5456;6919
"ENSG00000125691|RPL23";19745;22047;19844;17497;23691;25815;22226;26843
"ENSG00000252699|SNORA21B";1;1;1;1;1;1;1;1
"ENSG00000199293|SNORA21";1;1;4;1;1;10;1;1
"ENSG00000244086";0;0;0;0;0;0;0;0
"ENSG00000263874|LASP1NB";68;68;71;70;130;74;43;74
"ENSG00000141748|ARL5C";0;0;0;0;0;2;0;0
"ENSG00000280177";14;0;0;8;0;0;0;0
"ENSG00000293194|RDM1P5";0;0;10;4;0;0;0;0
"ENSG00000263818|RDM1P5";0;0;3;0;0;0;0;0
"ENSG00000161381|PLXDC1";0;7;0;0;12;8;14;0
"ENSG00000286443";0;0;0;0;0;0;0;0
"ENSG00000266101";0;0;0;0;0;0;0;0
"ENSG00000067191|CACNB1";321;433;302;320;411;364;305;363
"ENSG00000263466";6;0;0;0;0;0;0;0
"ENSG00000277057|MIR6779";0;0;0;2;0;0;0;0
"ENSG00000002834|LASP1";19012;17742;15770;14223;13159;13499;13305;15035
"ENSG00000265784";1;1;1;1;5;2;2;1
"ENSG00000141750|STAC2";0;0;0;0;0;0;0;0
"ENSG00000108298|RPL19";26913;29673;26951;24257;30700;33261;28676;36364
"ENSG00000125686|MED1";2683;2226;1960;2098;2180;2099;2089;2148
"ENSG00000108306|FBXL20";1545;1834;1366;1375;1918;1916;1684;2037
"ENSG00000266469";1;6;3;1;4;2;4;6
"ENSG00000167258|CDK12";3729;3238;3062;2839;2784;2348;2308;2676
"ENSG00000222777|RNU6-233P";0;0;0;0;0;0;0;0
"ENSG00000131771|PPP1R1B";0;0;0;0;0;0;0;0
"ENSG00000131748|STARD3";1269;1041;799;841;832;1054;934;1032
"ENSG00000173991|TCAP";4;11;0;0;7;10;0;7
"ENSG00000141738|GRB7";19;31;14;11;19;13;45;14
"ENSG00000161395|PGAP3";730;750;752;587;964;1136;933;1147
"ENSG00000141736|ERBB2";3410;3864;3246;3097;3302;3624;2891;3993
"ENSG00000265178|MIR4728";1;1;3;2;0;1;0;0
"ENSG00000141741|MIEN1";930;1013;773;802;712;767;792;920
"ENSG00000073605|GSDMB";177;228;178;145;180;130;126;203
"ENSG00000172057|ORMDL3";2217;2432;2272;2105;2351;2432;2040;2714
"ENSG00000204913|LRRC3C";0;0;0;0;0;0;0;0
"ENSG00000264968";0;0;0;0;4;3;0;1
"ENSG00000108344|PSMD3";4498;4695;4045;4021;3552;3713;3401;4064
"ENSG00000279199";12;18;25;12;27;3;8;10
"ENSG00000008838|MED24";1524;1289;958;884;856;962;774;1028
"ENSG00000126351|THRA";1644;1914;1402;1334;1832;2254;2014;2272
"ENSG00000283721|MIR6884";0;0;1;1;0;0;0;1
"ENSG00000238793|SNORD124";3;6;1;2;0;2;0;2
"ENSG00000126368|NR1D1";238;133;128;73;180;123;99;62
"ENSG00000188895|MSL1";5003;4997;4579;3972;4493;4925;3929;5246
"ENSG00000108352|RAPGEFL1";71;75;49;45;56;84;101;60
"ENSG00000274621|MIR6867";0;0;0;0;0;0;1;0
"ENSG00000108349|CASC3";3123;3182;2655;2406;2743;2882;2525;2893
"ENSG00000284144|MIR6866";0;1;0;0;0;0;0;0
"ENSG00000171475|WIPF2";1288;1191;1098;1205;1154;1030;931;997
"ENSG00000094804|CDC6";2995;1195;1198;1220;805;364;617;480
"ENSG00000183153|GJD3";163;180;219;205;239;223;172;310
"ENSG00000266208|GJD3-AS1";323;356;204;245;330;415;289;253
"ENSG00000264655|PPIAP54";1;6;6;4;11;1;0;0
"ENSG00000131759|RARA";874;944;780;837;907;1060;959;1124
"ENSG00000287644";0;0;0;0;0;0;0;0
"ENSG00000278918";0;0;0;0;0;0;0;0
"ENSG00000265666|RARA-AS1";59;136;118;84;59;72;78;118
"ENSG00000240125|RPL23AP75";0;0;0;2;0;0;0;0
"ENSG00000131747|TOP2A";52026;24058;27680;25824;14647;7044;11142;9415
"ENSG00000222881|Y_RNA";27;11;12;8;3;4;7;2
"ENSG00000131746|TNS4";16;25;23;16;23;27;20;44
"ENSG00000266088";53;34;26;13;43;3;5;19
"ENSG00000141753|IGFBP4";14679;14204;11888;14523;13620;16880;14948;21244
"ENSG00000126353|CCR7";14;15;0;4;0;3;7;10
"ENSG00000167920|KRT10-AS1";367;319;338;256;345;391;343;365
"ENSG00000186395|KRT10";143;214;143;131;135;166;123;212
"ENSG00000234477";5;0;0;0;0;3;0;11
"ENSG00000108244|KRT23";0;7;0;0;0;0;0;0
"ENSG00000196859|KRT39";0;0;0;0;0;0;0;0
"ENSG00000221852|KRTAP1-5";1661;1270;1197;1183;659;612;558;655
"ENSG00000212725|KRTAP2-1";2;1;0;0;0;0;0;0
"ENSG00000214518|KRTAP2-2";1;1;0;0;0;0;0;0
"ENSG00000212724|KRTAP2-3";25;7;8;5;8;0;3;0
"ENSG00000213417|KRTAP2-4";0;1;0;0;0;0;0;0
"ENSG00000287602";0;0;4;0;0;0;0;0
"ENSG00000073584|SMARCE1";7156;7905;7111;6378;7461;7951;6509;8600
"ENSG00000213424|KRT222";0;0;0;0;0;0;0;0
"ENSG00000264058";6;14;11;22;10;19;22;6
"ENSG00000278834";141;180;149;103;132;188;143;137
"ENSG00000131738|KRT33B";62;24;21;20;34;16;19;32
"ENSG00000131737|KRT34";395;285;232;206;184;97;110;134
"ENSG00000171360|KRT38";29;32;16;33;40;44;15;31
"ENSG00000234859";0;0;0;0;0;0;0;0
"ENSG00000225438|KRT41P";0;0;0;0;0;0;0;0
"ENSG00000108417|KRT37";0;0;0;0;0;0;0;0
"ENSG00000108759|KRT32";5;20;3;12;21;0;27;34
"ENSG00000171346|KRT15";300;132;87;146;81;32;75;61
"ENSG00000283796|MIR6510";1;1;1;1;0;1;1;1
"ENSG00000171345|KRT19";2626;2257;2017;1728;1268;1219;1109;1418
"ENSG00000186847|KRT14";40;21;23;11;10;5;21;6
"ENSG00000186832|KRT16";4;0;12;7;0;14;0;0
"ENSG00000267185|PTP4A2P1";2;0;1;2;0;2;3;3
"ENSG00000033627|ATP6V0A1";1305;1527;1290;1188;1147;1160;981;1307
"ENSG00000267222";4;0;7;0;3;3;0;10
"ENSG00000264314|MIR548AT";0;1;4;5;1;1;2;0
"ENSG00000267632";24;40;36;31;20;14;32;8
"ENSG00000283929|MIR5010";2;1;2;1;1;1;1;1
"ENSG00000266929";1;2;1;0;0;0;0;2
"ENSG00000108786|HSD17B1";10;34;14;17;14;28;27;20
"ENSG00000068120|COASY";1141;1206;1048;1017;1100;964;1123;1325
"ENSG00000108784|NAGLU";1927;1928;1455;1442;1900;1934;1893;1981
"ENSG00000108785|HSD17B1P1";2;4;5;6;5;11;2;0
"ENSG00000266962|HSD17B1-AS1";280;368;336;268;332;251;268;365
"ENSG00000131470|PSMC3IP";701;291;326;248;184;157;165;124
"ENSG00000108788|MLX";1902;1680;1516;1309;1229;1218;1217;1367
"ENSG00000287710";22;24;30;21;10;21;13;20
"ENSG00000037042|TUBG2";936;833;789;770;830;799;651;924
"ENSG00000141699|RETREG3";3959;4362;3608;3288;3963;4215;3405;4604
"ENSG00000280183";0;0;0;0;0;0;0;0
"ENSG00000131462|TUBG1";3274;2026;2016;1815;1288;1053;1115;1245
"ENSG00000068137|PLEKHH3";759;948;769;584;939;887;684;951
"ENSG00000214578|HMGN2P15";0;0;0;0;3;2;4;3
"ENSG00000197291|RAMP2-AS1";0;6;9;0;9;0;0;0
"ENSG00000131477|RAMP2";7;0;0;7;13;11;4;5
"ENSG00000131475|VPS25";1654;1820;1672;1550;1406;1623;1399;1673
"ENSG00000184451|CCR10";34;34;17;10;27;27;36;16
"ENSG00000267042";0;0;0;0;0;0;0;0
"ENSG00000108797|CNTNAP1";1663;2052;1621;1324;1840;1903;1416;1660
"ENSG00000267765";4;0;0;1;0;0;0;0
"ENSG00000108799|EZH1";1794;1936;1723;1409;1839;1622;1472;1979
"ENSG00000275273|MIR6780A";0;1;0;2;0;0;0;0
"ENSG00000239671";0;0;0;0;0;0;0;0
"ENSG00000131471|AOC3";0;0;0;0;0;0;0;0
"ENSG00000126562|WNK4";37;31;40;26;22;15;0;21
"ENSG00000176563|CNTD1";18;9;13;12;0;12;11;12
"ENSG00000278447|MIR6781";1;2;0;3;1;0;0;0
"ENSG00000131467|PSME3";3121;2451;2159;2105;1805;1855;1854;1980
"ENSG00000131480|AOC2";21;17;12;25;15;16;10;26
"ENSG00000183978|COA3";1276;1222;1258;1091;1088;1208;996;1216
"ENSG00000126581|BECN1";4090;4051;3841;3174;3850;4052;3563;4177
"ENSG00000266967|AARSD1";547;521;499;417;424;455;439;494
"ENSG00000108825|PTGES3L-AARSD1";0;87;23;25;11;11;0;19
"ENSG00000267060|PTGES3L";38;15;41;22;13;8;20;15
"ENSG00000198863|RUNDC1";762;860;645;652;783;745;604;676
"ENSG00000131469|RPL27";6607;7022;6365;5766;6898;7175;5778;7629
"ENSG00000173812|EIF1";3004;3162;2542;2462;2443;2734;2494;3205
"ENSG00000184502|GAST";0;0;0;0;0;0;0;0
"ENSG00000173805|HAP1";21;14;15;13;6;18;9;8
"ENSG00000201920|RNA5SP442";0;0;0;0;0;0;0;0
"ENSG00000239542|RN7SL399P";0;0;0;2;0;0;0;0
"ENSG00000173801|JUP";210;392;333;313;433;564;480;727
"ENSG00000141696|P3H4";2253;2597;1973;1782;2349;2356;2105;2468
"ENSG00000161594|KLHL10";11;8;16;0;8;6;0;0
"ENSG00000131473|ACLY";12729;11156;10117;9333;7445;7376;6765;7890
"ENSG00000204815|ODAD4";40;41;48;24;37;24;0;17
"ENSG00000173786|CNP";3257;3246;2910;2952;3026;3406;2968;3615
"ENSG00000168259|DNAJC7";2328;2169;1843;1674;1691;1929;1484;2023
"ENSG00000168256|NKIRAS2";1594;1730;1518;1227;1401;1480;1326;1443
"ENSG00000187595|ZNF385C";0;0;0;0;0;0;0;0
"ENSG00000108771|DHX58";400;463;411;368;659;634;505;687
"ENSG00000108773|KAT2A";771;741;514;481;512;649;395;555
"ENSG00000267261";1;3;2;7;28;0;2;5
"ENSG00000260325|HSPB9";0;0;0;0;0;0;0;0
"ENSG00000108774|RAB5C";4294;4450;3370;3123;3292;3720;2919;3809
"ENSG00000089558|KCNH4";0;4;0;0;0;0;0;0
"ENSG00000161610|HCRT";0;0;0;0;0;0;0;0
"ENSG00000167925|GHDC";841;756;665;577;765;1005;889;1072
"ENSG00000173757|STAT5B";2296;2640;2240;1993;2607;2593;2305;2551
"ENSG00000280295";0;0;0;0;0;0;0;0
"ENSG00000267758";0;0;0;0;0;0;0;0
"ENSG00000126561|STAT5A";1190;1262;1109;920;1410;1480;1167;1487
"ENSG00000168610|STAT3";7047;8899;7989;6907;9861;11468;9714;11869
"ENSG00000278954";3;0;0;0;10;0;0;3
"ENSG00000141756|FKBP10";22344;25156;22160;19538;23942;26370;22644;27777
"ENSG00000141698|NT5C3B";1755;2107;1726;1619;1955;2008;1846;2536
"ENSG00000178502|KLHL11";2708;2288;2324;2142;2679;2532;2216;2902
"ENSG00000259623";262;291;152;196;221;176;234;137
"ENSG00000274630";0;0;0;0;0;0;0;0
"ENSG00000267221|C17orf113";3;14;0;13;16;42;30;19
"ENSG00000267658|RAB5C-AS1";0;0;0;1;0;8;0;0
"ENSG00000236194";10;3;12;17;25;5;6;9
"ENSG00000278829";7;0;3;2;1;5;0;7
"ENSG00000177469|CAVIN1";71626;70858;62546;53134;47731;50786;45806;54734
"ENSG00000289579";65;31;66;23;25;21;21;21
"ENSG00000108830|RND2";76;66;71;40;78;92;75;116
"ENSG00000068079|IFI35";244;277;214;166;230;226;247;269
"ENSG00000108828|VAT1";16260;17790;14518;13175;14263;16487;14326;17941
"ENSG00000188825|LINC00910";60;106;117;61;77;127;60;120
"ENSG00000279602";86;117;92;84;50;94;55;70
"ENSG00000277084|RNU2-4P";0;0;0;0;1;0;1;0
"ENSG00000288909";7;31;19;3;8;1;20;34
"ENSG00000175906|ARL4D";982;1066;834;824;768;861;696;777
"ENSG00000012048|BRCA1";3748;1984;1637;1782;1235;753;926;847
"ENSG00000240828|RPL21P4";0;0;0;0;0;0;0;0
"ENSG00000267002";268;276;275;292;324;188;167;236
"ENSG00000184988|TMEM106A";408;350;295;148;238;256;174;196
"ENSG00000236383|CCDC200";0;0;0;0;0;0;0;0
"ENSG00000274585|RNU2-1";1;0;0;0;1;0;0;0
"ENSG00000198496|NBR2";176;228;209;135;264;218;211;163
"ENSG00000285057";1;1;1;1;1;1;1;1
"ENSG00000267681";7;18;13;1;10;12;26;10
"ENSG00000267595|BRCA1P1";2;4;2;0;5;0;0;3
"ENSG00000267340";0;4;6;3;9;12;1;7
"ENSG00000188554|NBR1";11110;12787;11360;10027;12243;12809;10499;12981
"ENSG00000275616|U2";1;1;1;1;1;0;1;1
"ENSG00000273709|U2";1;1;1;1;1;0;1;1
"ENSG00000274432|U2";1;0;1;1;1;1;1;1
"ENSG00000278048|U2";21;15;13;14;9;5;9;12
"ENSG00000276596|U2";21;15;13;14;9;5;9;12
"ENSG00000277903|U2";1;0;1;1;1;1;1;1
"ENSG00000278774|U2";1;1;1;1;1;1;1;1
"ENSG00000274862|U2";1;1;1;1;1;1;1;1
"ENSG00000274062|U2";1;1;1;1;1;1;1;1
"ENSG00000274452|U2";0;1;1;0;0;1;0;2
"ENSG00000275219|U2";0;1;1;1;1;1;1;1
"ENSG00000278591|U2";1;1;1;1;1;1;1;1
"ENSG00000005102|MEOX1";0;0;0;0;3;8;21;13
"ENSG00000267440|LINC02594";0;0;0;0;0;0;0;6
"ENSG00000267253|WHSC1L2P";14;4;4;1;7;6;3;5
"ENSG00000175832|ETV4";579;240;260;274;261;166;244;210
"ENSG00000067596|DHX8";3932;3623;3443;2864;3252;2997;2690;3446
"ENSG00000278109|Metazoa_SRP";0;0;0;0;0;0;0;0
"ENSG00000108861|DUSP3";4372;3994;3623;3152;2960;3197;3098;3365
"ENSG00000161647|MPP3";578;405;344;292;267;238;199;256
"ENSG00000108852|MPP2";107;88;107;73;123;132;173;186
"ENSG00000131096|PYY";10;0;0;0;0;3;0;0
"ENSG00000161653|NAGS";119;71;77;80;93;66;75;78
"ENSG00000091947|TMEM101";992;910;759;711;1162;1064;943;1023
"ENSG00000161654|LSM12";1347;1275;1014;1009;1100;1155;1005;1168
"ENSG00000125319|HROB";338;150;186;158;105;45;74;84
"ENSG00000161664|ASB16";0;0;0;0;0;0;0;0
"ENSG00000267080|ASB16-AS1";367;242;206;181;230;233;181;199
"ENSG00000141349|G6PC3";1053;927;791;754;640;761;645;835
"ENSG00000108840|HDAC5";2730;3917;3096;2940;3330;3930;3488;3962
"ENSG00000267638";0;0;0;0;0;0;0;0
"ENSG00000267750|RUNDC3A-AS1";15;19;30;9;29;8;15;29
"ENSG00000221496|U3";0;0;0;0;0;0;0;0
"ENSG00000252628|RNU6-453P";0;0;0;0;0;0;0;0
"ENSG00000108309|RUNDC3A";9;11;2;3;15;7;8;0
"ENSG00000288961";0;13;13;6;15;0;0;14
"ENSG00000013306|SLC25A39";2511;2306;2021;1821;1697;1947;1579;1878
"ENSG00000087152|ATXN7L3";3112;3451;2747;2486;2607;2864;2284;3019
"ENSG00000267394|ATXN7L3-AS1";0;15;21;9;7;0;10;0
"ENSG00000108312|UBTF";4237;4236;3435;3153;3341;3664;3070;3554
"ENSG00000168591|TMUB2";1667;2003;1512;1492;1529;1765;1556;1864
"ENSG00000275107|MIR6782";0;0;0;0;1;0;0;0
"ENSG00000260793|ATXN7L3-AS1";28;47;26;26;21;35;11;26
"ENSG00000288877";4;1;4;0;0;3;0;11
"ENSG00000005961|ITGA2B";9;20;5;12;0;0;13;16
"ENSG00000030582|GRN";11510;13857;12055;10588;16294;17338;15789;18998
"ENSG00000161682|FAM171A2";270;396;264;215;382;397;426;383
"ENSG00000186566|GPATCH8";1402;1113;1004;940;1251;1154;1003;1307
"ENSG00000240589|RN7SL258P";1;2;2;0;0;0;0;0
"ENSG00000283045";8;4;0;0;9;8;1;4
"ENSG00000180340|FZD2";1125;1278;941;918;1065;1188;1111;1253
"ENSG00000073670|ADAM11";10;22;15;11;27;22;17;35
"ENSG00000161692|DBF4B";647;359;363;358;294;152;165;129
"ENSG00000264251|RN7SL819P";0;0;0;0;0;0;0;0
"ENSG00000240305|RPL6P26";0;0;0;0;0;0;0;0
"ENSG00000180336|MEIOC";10;6;4;25;18;4;11;4
"ENSG00000180329|CCDC43";1912;2031;1654;1472;1588;1501;1395;1746
"ENSG00000267160";50;52;36;47;85;43;32;59
"ENSG00000279879";27;17;18;12;14;19;8;31
"ENSG00000182963|GJC1";2909;1962;1821;1579;1205;872;1048;1151
"ENSG00000267405";10;10;2;0;0;0;0;3
"ENSG00000186185|KIF18B";1226;640;505;558;310;104;196;250
"ENSG00000278223|MIR6783";2;2;2;0;0;0;0;1
"ENSG00000131097|HIGD1B";0;0;0;0;0;0;0;0
"ENSG00000108883|EFTUD2";2934;2841;2540;2196;2150;2234;1847;2284
"ENSG00000264540|RN7SL405P";0;0;0;0;0;0;0;0
"ENSG00000167131|CCDC103";136;161;96;84;124;152;145;222
"ENSG00000131095|GFAP";4;0;3;8;18;16;19;4
"ENSG00000214447|FAM187A";1;1;1;1;1;1;2;1
"ENSG00000168517|HEXIM2";92;115;74;81;143;130;106;145
"ENSG00000276728";45;51;18;33;53;64;28;51
"ENSG00000186834|HEXIM1";761;725;613;585;830;800;845;997
"ENSG00000224505|HEXIM2-AS1";218;215;169;129;197;108;85;146
"ENSG00000267288";26;96;92;57;95;79;82;79
"ENSG00000267446";0;0;3;0;0;0;0;0
"ENSG00000267121|FMNL1-DT";32;48;39;33;50;59;22;48
"ENSG00000184922|FMNL1";16;53;34;48;35;31;9;64
"ENSG00000233175|FMNL1-AS1";0;4;0;5;9;10;0;3
"ENSG00000293499";6;4;3;0;14;1;0;1
"ENSG00000233483|EFCAB15P";0;0;0;0;0;0;0;0
"ENSG00000267278|MAP3K14-AS1";38;31;46;48;88;68;71;84
"ENSG00000184361|SPATA32";0;0;0;0;0;0;0;0
"ENSG00000006062|MAP3K14";193;207;192;137;198;181;120;194
"ENSG00000159314|ARHGAP27";92;116;93;106;83;96;43;101
"ENSG00000267344";0;0;0;0;0;0;0;0
